action,driver.attackState,driver.bImpactDone,driver.cooldownRemaining,driver.stateTimer,knockout.bPlayerKO,knockout.bPlayerRagdolled,knockout.bVanguardKO,knockout.bVanguardRagdolled,mover.bCrossingActive,mover.bExternalMovementLocked,mover.currentSideSign,mover.movementIntent,phase,player.bIsAttacking,player.currentHealth,player.x,player.y,player.z,t,tick,vanguard.health,vanguard.x,vanguard.y,vanguard.z
none,0,True,2.1702575385570526,0.6666668057441711,False,False,False,False,False,False,1,2,baseline_idle,False,80,0,0,92.1500015258789,0.33,1,100,191.15283355833648,25.944451360792215,90
none,1,True,0.17025712132453918,0,False,False,False,False,False,False,1,0,baseline_idle,False,80,0,0,92.1500015258789,2.33,2,100,191.15283355833648,25.944451360792215,90
none,0,True,2.8162328004837036,0.6666668057441711,False,False,False,False,False,True,1,0,baseline_idle,False,70,0,0,92.1500015258789,4.33,3,100,173.76985552140334,26.61324857475155,90
none,0,True,0.8162323832511902,0.6666668057441711,False,False,False,False,False,False,1,1,baseline_idle,False,70,0,0,92.1500015258789,6.329,4,100,159.31845930646307,-30.8020155395467,90
punch,0,True,2.1277757734060287,0.6666668057441711,False,False,False,False,False,False,1,2,punch_loop,True,70,100.04415117891283,-19.953044822779866,92.1499992183982,8.331,5,90,259.1205625393793,-30.8020155395467,90
punch,0,True,0.6,0.6666668057441711,False,False,False,False,False,False,1,2,punch_loop,True,70,239.82647957753574,-27.206346418952116,92.1499992183982,10.997,6,80,398.9028909380022,-30.8020155395467,90
punch,0,False,3.081743821501732,0,False,False,False,False,False,False,1,2,punch_loop,True,70,337.5327592042911,-29.48023112884823,92.1499992183982,13.663,7,70,415.5327592042911,-30.8020155395467,90
punch,0,False,1.415076807141304,0,False,False,False,False,False,False,1,2,punch_loop,True,70,407.11272109819447,-38.997138912301196,92.1499992183982,15.33,8,60,496.6091715189658,-56.7464669003389,90
punch,0,False,2.927126854658127,0.33333340287208557,False,False,False,False,False,False,1,2,punch_loop,True,70,520.4661824124546,-68.81424908519912,92.1499992183982,17.33,9,50,629.5425827833147,-82.69091826113116,90
punch,0,False,0.6,0.33333340287208557,False,False,False,False,False,False,1,2,punch_loop,True,70,572,-76.3945656850168,92.1499992183982,19.663,10,40,650,-72.746470240955,90
punch,0,False,1.8416189695708454,0,False,False,False,False,False,False,1,2,punch_loop,True,70,572,-74.2307026718579,92.1499992183982,21.997,11,30,650,-62.80202222077885,90
punch,0,False,0.6,0,False,False,False,False,False,False,1,2,punch_loop,True,70,572,-67.12187687390816,92.1499992183982,24.663,12,20,650,-52.857574200602684,90
punch,0,False,3.6176843643188477,0,False,False,False,False,False,False,1,2,punch_loop,True,70,572,-57.951758336914985,92.1499992183982,26.997,13,10,650,-42.91312618042652,90
punch,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,punch_loop,True,70,599.3716884594629,-15.294980853208763,92.1499992183982,29.33,14,0,650,5.086884369595609,90
jump,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,jump_cross,False,70,599.3716884594629,-15.294980853208763,92.15000104924104,31.996,15,0,650,5.086884369595609,90
jump,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,jump_cross,False,70,599.3716884594629,-15.294980853208763,92.15000293842061,33.663,16,0,650,5.086884369595609,90
jump,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,jump_cross,False,70,599.3716884594629,-15.294980853208763,92.15000101290289,36.33,17,0,650,5.086884369595609,90
jump,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,jump_cross,False,70,599.3716884594629,-15.294980853208763,92.15000290208243,38.663,18,0,650,5.086884369595609,90
jump,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,jump_cross,False,70,599.3716884594629,-15.294980853208763,92.15000097656471,40.997,19,0,650,5.086884369595609,90
punch,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,punch_loop,True,70,682.1679420008992,18.037005162709068,92.15000097656471,43.33,20,0,650,5.086884369595609,90
punch,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,punch_loop,True,70,599.3716873498578,-15.294978096961875,92.15000097656471,45.663,21,0,650,5.086884369595609,90
punch,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,punch_loop,True,70,682.1679438733096,18.037000511665017,92.15000097656471,47.996,22,0,650,5.086884369595609,90
punch,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,punch_loop,True,70,599.3716884594635,-15.294980853209136,92.15000097656471,50.663,23,0,650,5.086884369595609,90
punch,0,False,3.9148075878620148,0,False,False,True,True,False,False,1,2,punch_loop,True,70,682.1679420008998,18.037005162708695,92.15000097656471,52.665,24,0,650,5.086884369595609,90
